price,rsi,vol,DateTime
1078.00,55.4717,171,29/10/2018 11:16:00
1078.60,61.1637,330,29/10/2018 11:17:00
1079.10,65.1604,760,29/10/2018 11:18:00
1079.10,65.1604,165,29/10/2018 11:19:00
1079.50,68.1970,428,29/10/2018 11:20:00
1079.60,68.9262,459,29/10/2018 11:21:00
1079.30,64.1726,182,29/10/2018 11:22:00
1079.20,62.6222,99,29/10/2018 11:23:00
1079.00,59.5248,163,29/10/2018 11:24:00
1079.80,66.6340,479,29/10/2018 11:25:00
1079.10,57.1716,233,29/10/2018 11:26:00
1079.30,58.9646,157,29/10/2018 11:27:00
1078.70,51.9395,208,29/10/2018 11:28:00
1078.30,47.8468,187,29/10/2018 11:29:00
1078.80,52.8483,189,29/10/2018 11:30:00
1078.70,51.7788,88,29/10/2018 11:31:00
1078.60,50.6744,44,29/10/2018 11:32:00
1078.10,45.4540,189,29/10/2018 11:33:00
1078.20,46.6380,181,29/10/2018 11:34:00
1078.10,45.5727,212,29/10/2018 11:35:00
1077.90,43.4356,182,29/10/2018 11:36:00
1077.70,41.3476,173,29/10/2018 11:37:00
1077.80,42.8275,165,29/10/2018 11:38:00
1078.00,45.7744,158,29/10/2018 11:39:00
1078.00,45.7744,197,29/10/2018 11:40:00
1078.10,47.3482,100,29/10/2018 11:41:00
1079.20,60.8187,376,29/10/2018 11:42:00
1079.50,63.5572,224,29/10/2018 11:43:00
1079.30,60.5204,180,29/10/2018 11:44:00
1080.40,69.2288,1286,29/10/2018 11:45:00
1080.10,65.0167,475,29/10/2018 11:46:00
1079.80,61.0184,205,29/10/2018 11:47:00
1080.40,65.5777,322,29/10/2018 11:48:00
1079.50,55.1567,440,29/10/2018 11:49:00
1079.70,56.7996,454,29/10/2018 11:50:00
1079.00,49.9077,226,29/10/2018 11:51:00
1079.90,57.1130,174,29/10/2018 11:52:00
1079.60,54.3088,88,29/10/2018 11:53:00
1079.50,53.3681,158,29/10/2018 11:54:00
1079.40,52.3909,119,29/10/2018 11:55:00
1079.30,51.3778,109,29/10/2018 11:56:00
1079.50,53.3220,61,29/10/2018 11:57:00
1079.50,53.3220,127,29/10/2018 11:58:00
1079.70,55.3907,272,29/10/2018 11:59:00
1080.10,59.2778,486,29/10/2018 12:00:00
1079.60,53.0545,405,29/10/2018 12:01:00
1079.00,46.7163,317,29/10/2018 12:02:00
1078.80,44.7952,546,29/10/2018 12:03:00
1078.50,42.0050,169,29/10/2018 12:04:00
1078.20,39.3643,453,29/10/2018 12:05:00
1078.00,37.6644,401,29/10/2018 12:06:00
1078.60,45.2966,219,29/10/2018 12:07:00
1078.90,48.6799,140,29/10/2018 12:08:00
1079.40,53.8078,299,29/10/2018 12:09:00
1079.50,54.7810,1076,29/10/2018 12:10:00
1079.50,54.7810,480,29/10/2018 12:11:00
1079.70,56.8878,179,29/10/2018 12:12:00
1079.10,49.4451,224,29/10/2018 12:13:00
1079.50,53.7860,88,29/10/2018 12:14:00
1079.60,54.8302,166,29/10/2018 12:15:00
1079.80,56.9264,38,29/10/2018 12:16:00
1079.70,55.5386,34,29/10/2018 12:17:00
1080.00,58.7849,777,29/10/2018 12:18:00
1080.20,60.8377,244,29/10/2018 12:19:00
1080.00,57.7405,239,29/10/2018 12:20:00
1079.60,52.0348,121,29/10/2018 12:21:00
1079.80,54.4580,115,29/10/2018 12:22:00
1079.70,53.0158,47,29/10/2018 12:23:00
1080.10,57.8270,261,29/10/2018 12:24:00
1080.00,56.2755,123,29/10/2018 12:25:00
1080.00,56.2755,232,29/10/2018 12:26:00
1080.00,56.2755,210,29/10/2018 12:27:00
1080.20,59.0218,537,29/10/2018 12:28:00
1080.10,57.0910,715,29/10/2018 12:29:00
1078.50,36.5106,817,29/10/2018 14:15:00
1078.30,34.8208,154,29/10/2018 14:16:00
1078.60,39.3547,184,29/10/2018 14:17:00
1078.90,43.5812,249,29/10/2018 14:18:00
1079.70,52.9897,493,29/10/2018 14:19:00
1079.30,48.6236,192,29/10/2018 14:20:00
1079.10,46.5579,100,29/10/2018 14:21:00
1078.50,40.9390,313,29/10/2018 14:22:00
1078.20,38.4409,239,29/10/2018 14:23:00
1077.80,35.3441,849,29/10/2018 14:24:00
1075.50,23.5808,1669,29/10/2018 14:25:00
1076.00,29.1048,1676,29/10/2018 14:26:00
1076.70,36.0720,1499,29/10/2018 14:27:00
1077.40,42.1902,895,29/10/2018 14:28:00
1077.60,43.8439,398,29/10/2018 14:29:00
1078.90,53.2125,723,29/10/2018 14:30:00
1078.00,47.3260,707,29/10/2018 14:31:00
1078.00,47.3260,283,29/10/2018 14:32:00
1077.00,41.4213,698,29/10/2018 14:33:00
1077.30,43.6910,370,29/10/2018 14:34:00
1076.60,39.8145,1052,29/10/2018 14:35:00
1076.00,36.8005,708,29/10/2018 14:36:00
1075.80,35.8269,711,29/10/2018 14:37:00
1075.70,35.3237,658,29/10/2018 14:38:00
1075.00,31.9417,772,29/10/2018 14:39:00
1074.60,30.1644,1247,29/10/2018 14:40:00
